1,2,3,6,12,19||9
1,2,3,6,12,20||9
1,2,3,6,12,24||9
1,2,3,6,12,25||9
1,2,3,6,12,26||9
1,2,3,6,12,27||9
1,2,3,6,12,29||9
1,2,3,6,12,30||9
1,2,3,6,12,31||9
1,2,3,6,12,32||9
1,2,3,6,12,33||9
1,2,3,6,13,19||9
1,2,3,6,13,21||9
1,2,3,6,13,22||9
1,2,3,6,13,26||9
1,2,3,6,13,27||9
1,2,3,6,13,29||9
1,2,3,6,13,30||9
1,2,3,6,13,31||9
1,2,3,6,13,32||9
1,2,3,6,13,33||9
1,2,3,6,14,20||9
1,2,3,6,14,21||9
1,2,3,6,14,23||9
1,2,3,6,14,24||9
1,2,3,6,14,29||9
1,2,3,6,14,30||9
1,2,3,6,14,31||9
1,2,3,6,14,32||9
1,2,3,6,14,33||9
1,2,3,6,15,21||9
1,2,3,6,15,22||9
1,2,3,6,15,23||9
1,2,3,6,15,25||9
1,2,3,6,15,26||9
1,2,3,6,15,30||9
1,2,3,6,15,31||9
1,2,3,6,15,32||9
1,2,3,6,15,33||9
1,2,3,6,16,22||9
1,2,3,6,16,23||9
1,2,3,6,16,24||9
1,2,3,6,16,25||9
1,2,3,6,16,27||9
1,2,3,6,16,32||9
1,2,3,6,16,33||9
1,2,3,6,19,25||9
1,2,3,6,19,26||9
1,2,3,6,19,27||9
1,2,3,6,19,29||9
1,2,3,6,19,30||9
1,2,3,6,19,31||9
1,2,3,6,19,33||9
1,2,3,6,20,26||9
1,2,3,6,20,27||9
1,2,3,6,20,29||9
1,2,3,6,20,30||9
1,2,3,6,20,31||9
1,2,3,6,20,32||9
1,2,3,6,20,33||9
1,2,3,6,21,27||9
1,2,3,6,21,29||9
1,2,3,6,21,30||9
1,2,3,6,21,31||9
1,2,3,6,21,32||9
1,2,3,6,21,33||9
1,2,3,6,22,29||9
1,2,3,6,22,30||9
1,2,3,6,22,31||9
1,2,3,6,22,32||9
1,2,3,6,22,33||9
1,2,3,6,23,29||9
1,2,3,6,23,30||9
1,2,3,6,23,31||9
1,2,3,6,23,32||9
1,2,3,6,23,33||9
1,2,3,6,24,30||9
1,2,3,6,24,31||9
1,2,3,6,24,32||9
1,2,3,6,24,33||9
1,2,3,6,25,31||9
1,2,3,6,25,32||9
1,2,3,6,25,33||9
1,2,3,6,26,32||9
1,2,3,6,26,33||9
1,2,3,6,27,33||9
1,2,3,9,12,24||9
1,2,3,9,12,25||9
1,2,3,9,12,26||9
1,2,3,9,12,27||9
1,2,3,9,12,29||9
1,2,3,9,12,30||9
1,2,3,9,12,31||9
1,2,3,9,12,32||9
1,2,3,9,12,33||9
1,2,3,9,13,22||9
1,2,3,9,13,26||9
1,2,3,9,13,27||9
1,2,3,9,13,29||9
1,2,3,9,13,30||9
1,2,3,9,13,31||9
1,2,3,9,13,32||9
1,2,3,9,13,33||9
1,2,3,9,14,23||9
1,2,3,9,14,24||9
1,2,3,9,14,29||9
1,2,3,9,14,30||9
1,2,3,9,14,31||9
1,2,3,9,14,32||9
1,2,3,9,14,33||9
1,2,3,9,19,22||9
1,2,3,9,19,23||9
1,2,3,9,19,24||9
1,2,3,9,19,30||9
1,2,3,9,19,31||9
1,2,3,9,19,32||9
1,2,3,9,19,33||9
1,2,3,9,20,23||9
1,2,3,9,20,24||9
1,2,3,9,20,25||9
1,2,3,9,20,29||9
1,2,3,9,20,30||9
1,2,3,9,20,32||9
1,2,3,9,20,33||9
1,2,3,9,21,24||9
1,2,3,9,21,25||9
1,2,3,9,21,26||9
1,2,3,9,21,30||9
1,2,3,9,21,31||9
1,2,3,9,21,32||9
1,2,3,9,22,25||9
1,2,3,9,22,26||9
1,2,3,9,22,27||9
1,2,3,9,22,31||9
1,2,3,9,22,32||9
1,2,3,9,22,33||9
1,2,3,9,23,26||9
1,2,3,9,23,27||9
1,2,3,9,23,32||9
1,2,3,9,23,33||9
1,2,3,9,24,27||9
